Show Number	 Air Date	 Round	 Category	 Value	 Question	 Answer
5957	7/6/2010	Jeopardy!	GEOGRAPHY "E"	$200 	It's the largest kingdom in the United Kingdom	England
5957	7/6/2010	Jeopardy!	RADIO DISNEY	$200 	"Party In The U.S.A." is by this singer who also plays a young lady named Hannah	Miley Cyrus
5957	7/6/2010	Jeopardy!	PARTS OF PEACH	$200 	If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine	the skin
5957	7/6/2010	Jeopardy!	BE FRUITFUL & MULTIPLY	$200 	4 x 12	48
5957	7/6/2010	Jeopardy!	LET'S BOUNCE	$200 	This verb for bouncing a basketball sounds like you're slobbering	dribbling
5957	7/6/2010	Jeopardy!	RHYMES WITH SMART	$200 	Blood pumper	heart
5957	7/6/2010	Jeopardy!	GEOGRAPHY "E"	$400 	(<a href="http://www.j-archive.com/media/2010-07-06_J_22.wmv">Tate: I'm Tate Shaffer aboard the <i>National Geographic Endeavour</i>.  Alex: And...</a>)  We're here in the Galapagos Islands at zero degrees latitude, which means we're right above this imaginary line that goes all the way around the Earth	the equator
5957	7/6/2010	Jeopardy!	RADIO DISNEY	$400 	"Everybody Else" knows these huggable toys precede "On Fire" in the name of a Radio Disney top 30 band; do you?	Care Bears
5957	7/6/2010	Jeopardy!	PARTS OF PEACH	$400 	Peaches are more than 80% this compound	H2O
5957	7/6/2010	Jeopardy!	BE FRUITFUL & MULTIPLY	$400 	7 x 7 x 2	98
5957	7/6/2010	Jeopardy!	LET'S BOUNCE	$400 	Sound navigation& ranging is the full name for this device that bounces radio waves underwater	sonar
5957	7/6/2010	Jeopardy!	RHYMES WITH SMART	$400 	Small, slender missile thrown at a board in a game	a dart
5957	7/6/2010	Jeopardy!	GEOGRAPHY "E"	$600 	This island in the South Pacific is named for the day of its discovery, a religious holiday	Easter Island
5957	7/6/2010	Jeopardy!	RADIO DISNEY	$600 	"The songs on 'Under My Skin' are...deeper than those on 'Let Go'" said this Canadian on Radio Disney's website	Avril Lavigne
5957	7/6/2010	Jeopardy!	PARTS OF PEACH	$600 	5-letter word for the hard interior of a peach	the stone
5957	7/6/2010	Jeopardy!	BE FRUITFUL & MULTIPLY	$600 	3 x 4 x 5 x 6	360
5957	7/6/2010	Jeopardy!	LET'S BOUNCE	$600 	In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects	jacks
5957	7/6/2010	Jeopardy!	RHYMES WITH SMART	$600 	It can be a separating line in your hair or a role in a play	a part
5957	7/6/2010	Jeopardy!	GEOGRAPHY "E"	$800 	Parts of the Arabian and Libyan deserts are found in this African country	Egypt
5957	7/6/2010	Jeopardy!	RADIO DISNEY	$800 	"I Never Told You" this alliteratively named singer hit Disney's Top 30 with "Fallin' For You"; wait, I just did	Colbie Caillat
5957	7/6/2010	Jeopardy!	PARTS OF PEACH	$800 	These parts of a peach tree are glossy green, pointed & lance shaped	leaves
5957	7/6/2010	Jeopardy!	BE FRUITFUL & MULTIPLY	$800 	5 x 10 x 15	750
5957	7/6/2010	Jeopardy!	LET'S BOUNCE	$800 	It's a type of bounce house, or a dance made famous by Michael Jackson	the moonwalk
5957	7/6/2010	Jeopardy!	RHYMES WITH SMART	$800 	A graphic representation of information	a chart
5957	7/6/2010	Jeopardy!	GEOGRAPHY "E"	$2,000 	The family history you wrote for school might include entering the U.S. at this island in New York Bay	Ellis Island
5957	7/6/2010	Jeopardy!	RADIO DISNEY	$1,000 	Lead singer Ryan Tedder of this band has "All The Right Moves"	OneRepublic
5957	7/6/2010	Jeopardy!	PARTS OF PEACH	$1,000 	These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink	blossoms
5957	7/6/2010	Jeopardy!	BE FRUITFUL & MULTIPLY	$1,000 	2 x 1,035	2,070
5957	7/6/2010	Jeopardy!	LET'S BOUNCE	$1,000 	This device whose name is from the Italian for "springboard" was perfected in the 1930s	a trampoline
5957	7/6/2010	Jeopardy!	RHYMES WITH SMART	$1,000 	Composer Wolfgang	Mozart
5957	7/6/2010	Double Jeopardy!	SCIENCE CLASS	$400 	99.95% of the mass of an atom is in this part	the nucleus
5957	7/6/2010	Double Jeopardy!	KIDS IN SPORTS	$400 	Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series	the Little League
5957	7/6/2010	Double Jeopardy!	JUST THE FACTS	$400 	This hero of several books is 11 when he discovers he's a wizard	Harry Potter
5957	7/6/2010	Double Jeopardy!	SEE & SAY	$400 	Say the name of <a href="http://www.j-archive.com/media/2010-07-06_DJ_26.jpg" target="_blank">this</a> type of mollusk you see	an octopus
5957	7/6/2010	Double Jeopardy!	NEWS TO ME	$400 	A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid	Haiti
5957	7/6/2010	Double Jeopardy!	IN THE DICTIONARY	$400 	It's the 4-letter name of the pleated skirt worn by men in Scotland	a kilt
5957	7/6/2010	Double Jeopardy!	SCIENCE CLASS	$800 	During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose	photosynthesis
5957	7/6/2010	Double Jeopardy!	KIDS IN SPORTS	$800 	The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this	surfing
5957	7/6/2010	Double Jeopardy!	JUST THE FACTS	$800 	This city, the seat of Clark County, Nevada, has been called "the entertainment capital of the world"	Las Vegas
5957	7/6/2010	Double Jeopardy!	SEE & SAY	$800 	Say <a href="http://www.j-archive.com/media/2010-07-06_DJ_27.jpg" target="_blank">this</a> state that was admitted to the Union in 1859	Oregon
5957	7/6/2010	Double Jeopardy!	NEWS TO ME	$800 	This car company has been in the news for widespread recalls of its Corollas & other models	Toyota
5957	7/6/2010	Double Jeopardy!	IN THE DICTIONARY	$800 	As an adjective, it can mean proper; as a verb, "to grade papers"	correct
5957	7/6/2010	Double Jeopardy!	SCIENCE CLASS	$1,200 	The wedge is an adaptation of the simple machine called the inclined this	plane
5957	7/6/2010	Double Jeopardy!	KIDS IN SPORTS	$1,200 	With a mighty leap of 5'1", David Mosely set the U.S. 10 & under record in this event back in 1977	the high jump
5957	7/6/2010	Double Jeopardy!	JUST THE FACTS	$1,200 	<a href="http://www.j-archive.com/media/2010-07-06_DJ_14.jpg" target="_blank">This dog breed seen here</a> is a loyal and protective companion	a German Shepherd
5957	7/6/2010	Double Jeopardy!	SEE & SAY	$1,200 	Say the name of <a href="http://www.j-archive.com/media/2010-07-06_DJ_28.jpg" target="_blank">this</a> bug; don't worry, it doesn't breathe fire	the dragonfly
5957	7/6/2010	Double Jeopardy!	NEWS TO ME	$1,200 	(<a href="http://www.j-archive.com/media/2010-07-06_DJ_21.wmv">Jimmy of the Clue Crew demonstrates, putting his arm over his mouth.</a>) To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book	Dracula
5957	7/6/2010	Double Jeopardy!	IN THE DICTIONARY	$1,200 	Maize is another word for this	corn
5957	7/6/2010	Double Jeopardy!	SCIENCE CLASS	$5,000 	Of the 6 noble gases on the periodic table, it is the lightest	helium
5957	7/6/2010	Double Jeopardy!	KIDS IN SPORTS	$1,600 	11-year-old Ashlyn White won a 2009 U.S. youth title in this martial art in which you try to throw your opponent	judo
5957	7/6/2010	Double Jeopardy!	JUST THE FACTS	$1,600 	In 1751 the Penn Provincial Assembly placed the order for this symbol of freedom, now in Philadelphia	the Liberty Bell
5957	7/6/2010	Double Jeopardy!	SEE & SAY	$1,600 	Say the name of <a href="http://www.j-archive.com/media/2010-07-06_DJ_29.jpg" target="_blank">these</a> big trees; it has a color in it	redwood
5957	7/6/2010	Double Jeopardy!	NEWS TO ME	$1,600 	In a surprise, Ted Kennedy's old Senate seat in this state went to a Republican in a January 2010 election	Massachusetts
5957	7/6/2010	Double Jeopardy!	IN THE DICTIONARY	$5,000 	This word for someone who walks comes from the Latin for "foot"	pedestrian
5957	7/6/2010	Double Jeopardy!	SCIENCE CLASS	$2,000 	Lava & igneous rock are formed from this hot liquid rock material found under the earth's crust	magma
5957	7/6/2010	Double Jeopardy!	KIDS IN SPORTS	$2,000 	This sport has an under-17 World Cup every 2 years; Haris Seferovic starred for the 2009 champion Switzerland	soccer
5957	7/6/2010	Double Jeopardy!	JUST THE FACTS	$2,000 	He's the older son of Prince Charles and the late Princess Diana	Prince William
5957	7/6/2010	Double Jeopardy!	SEE & SAY	$2,000 	Say the name of <a href="http://www.j-archive.com/media/2010-07-06_DJ_30.jpg" target="_blank">this</a> man you see shaking hands with the Premier of China	Ronald Reagan
5957	7/6/2010	Double Jeopardy!	NEWS TO ME	$2,000 	Falcon Heene, who it turned out was safe at home, not flying over Colorado, became known as this "boy"	the balloon boy
5957	7/6/2010	Double Jeopardy!	IN THE DICTIONARY	$2,000 	Kayak is an example of this, a word that reads the same forwards & backwards	a palindrome
5957	7/6/2010	Final Jeopardy!	HISTORIC WOMEN	None	She was born in Virginia around 1596 & died in Kent, England in 1617	Pocahontas
3751	12/18/2000	Jeopardy!	ROYAL FEMALE NICKNAMES	$100 	Prime Minister Tony Blair dubbed her "The People's Princess"	Princess Diana
3751	12/18/2000	Jeopardy!	TV ACTORS & ROLES	$100 	Once Tommy Mullaney on "L.A. Law", John Spencer now plays White House chief of staff Leo McGarry on this series	The West Wing
3751	12/18/2000	Jeopardy!	TRAVEL & TOURISM	$100 	The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland	Tokyo
3751	12/18/2000	Jeopardy!	"I" LADS	$100 	This punk rock hitmaker heard here has had numerous hits on both sides of the Atlantic	Billy Idol
3751	12/18/2000	Jeopardy!	FOREWORDS	$100 	"Conrad begins (and ends) Marlow's journey... on the Thames, on the yawl, Nellie", says the foreword to this novel	Heart of Darkness
3751	12/18/2000	Jeopardy!	BACKWORDS	$100 	We'll look smart in these vehicles that returned to London in 1999	Trams (smart)
3751	12/18/2000	Jeopardy!	ROYAL FEMALE NICKNAMES	$200 	She was "The Untamed Heifer" & "The Virgin Queen"	Elizabeth I
3751	12/18/2000	Jeopardy!	TV ACTORS & ROLES	$200 	Barbra Streisand knows he played Lt. Col. Bill "Raider" Kelly on "Pensacola: Wings of Gold"	James Brolin
3751	12/18/2000	Jeopardy!	TRAVEL & TOURISM	$200 	The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city	Bangkok
3751	12/18/2000	Jeopardy!	"I" LADS	$200 	Czar at 17, he was famous for extraordinary sadism & cruelty, even as a boy	Ivan the Terrible
3751	12/18/2000	Jeopardy!	FOREWORDS	$200 	Part 2 "is Lilliput in reverse, but...also offers some of" his "fiercest assaults upon the behavior of" his countrymen	Jonathan Swift
3751	12/18/2000	Jeopardy!	BACKWORDS	$200 	Ed leaves pools of water on the carpet when he comes in from sailing this boat	Sloop (pools)
3751	12/18/2000	Jeopardy!	ROYAL FEMALE NICKNAMES	$300 	Mark Antony called her "The Queen of Queens"	Cleopatra
3751	12/18/2000	Jeopardy!	TV ACTORS & ROLES	$300 	(Hi, I'm Wallace Langham)  I played Don Kirshner in VH1's TV movie about this quartet who sang "Daydream Believer"	The Monkees
3751	12/18/2000	Jeopardy!	TRAVEL & TOURISM	$300 	We're not stringing you along: this capital of the Czech Republic is famous for its puppet theatres	Prague
3751	12/18/2000	Jeopardy!	"I" LADS	$300 	Nudge, nudge, wink, wink!  This man seen here starred on a classic British comedy show	Eric Idle
3751	12/18/2000	Jeopardy!	FOREWORDS	$300 	She said that her husband Frank O'Connor was the fuel that kept her spirited while she wrote "The Fountainhead"	Ayn Rand
3751	12/18/2000	Jeopardy!	BACKWORDS	$300 	You'd be naive to think you can make bottled water that's more popular than this	Evian (naive)
3751	12/18/2000	Jeopardy!	ROYAL FEMALE NICKNAMES	$400 	The 19th century's "Widow of Windsor"	Queen Victoria
3751	12/18/2000	Jeopardy!	TV ACTORS & ROLES	$400 	Teri Hatcher looked "shipshape" as one of the singing "mermaids" who jumped on board this cruisin' series in 1985	The Love Boat
3751	12/18/2000	Jeopardy!	TRAVEL & TOURISM	$500 	Jomo Kenyatta International Airport serves this world capital	Nairobi, Kenya
3751	12/18/2000	Jeopardy!	"I" LADS	$400 	His is the first & longest book of the Bible's major prophets	Isaiah
3751	12/18/2000	Jeopardy!	FOREWORDS	$400 	One edition calls this Darwin opus one of "the most readable and approachable" of revolutionary scientific works	The Origin of Species
3751	12/18/2000	Jeopardy!	BACKWORDS	$400 	Aye, lass, I'll wed thee ere this has dried on the fields	Dew (wed)
3751	12/18/2000	Jeopardy!	ROYAL FEMALE NICKNAMES	$500 	"The Catholic" of 15th century Spain	Queen Isabella
3751	12/18/2000	Jeopardy!	TV ACTORS & ROLES	$500 	On "Saturday Night Live", he's famous for playing Craig the Cheerleader, Janet Reno & moi	Will Ferrell
3751	12/18/2000	Jeopardy!	TRAVEL & TOURISM	$500 	Andrea Palladio's 1554 book on "The Antiquities of" this city was the standard guidebook for some 200 years	Rome
3751	12/18/2000	Jeopardy!	"I" LADS	$500 	This auto exec's autobiography is one of the bestselling nonfiction works in publishing history	Lee Iacocca
3751	12/18/2000	Jeopardy!	BACKWORDS	$500 	You know so much about policy, you qualify as this	Wonk (know)
3751	12/18/2000	Double Jeopardy!	PEOPLE IN HISTORY	$200 	After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699	William Penn
3751	12/18/2000	Double Jeopardy!	CINEMATIC DICTIONARY	$200 	SFX is the standard abbreviation for these, from the rustling of trees to cannon fire	Sound effects
3751	12/18/2000	Double Jeopardy!	IT'S OURS!	$200 	Saint-Pierre & Miquelon	France
3751	12/18/2000	Double Jeopardy!	BRITISH FASHION	$200 	Designer Vivienne Westwood ran a shop with Malcolm McLaren, who launched this Johnny Rotten band	The Sex Pistols
3751	12/18/2000	Double Jeopardy!	ANDY WARHOL	$200 	Because he had the same thing for lunch every day for 20 years, Andy Warhol painted these, beginning in 1962	Campbell's Soup cans
3751	12/18/2000	Double Jeopardy!	THEATRE CROSSWORD CLUES "M"	$200 	Lerner & Loewe's "Lusty Month" (3)	May
3751	12/18/2000	Double Jeopardy!	PEOPLE IN HISTORY	$400 	This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly	John D. Rockefeller
3751	12/18/2000	Double Jeopardy!	CINEMATIC DICTIONARY	$400 	Term for the flow of a film, maintained by keeping details consistent throughout a scene	Continuity
3751	12/18/2000	Double Jeopardy!	IT'S OURS!	$400 	Montserrat	Great Britain (United Kingdom)
3751	12/18/2000	Double Jeopardy!	BRITISH FASHION	$400 	Star designer John Galliano was born Juan Carlos Galliano in this British possession at the tip of Spain	Gibraltar
3751	12/18/2000	Double Jeopardy!	ANDY WARHOL	$400 	Warhol went against his Capitalist tendencies with his portrait of this man, seen here	Mao Tse-tung
3751	12/18/2000	Double Jeopardy!	THEATRE CROSSWORD CLUES "M"	$400 	Patrick Dennis' "Auntie" (4)	Mame
3751	12/18/2000	Double Jeopardy!	PEOPLE IN HISTORY	$600 	First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster	Sinking of the Titanic
3751	12/18/2000	Double Jeopardy!	CINEMATIC DICTIONARY	$600 	Garland Jeffreys sang of having star-studded "dreams" of this size, like movie film	35mm
3751	12/18/2000	Double Jeopardy!	IT'S OURS!	$600 	Cook Islands	New Zealand
3751	12/18/2000	Double Jeopardy!	BRITISH FASHION	$600 	Katharine Hamnett created the '80s T-shirt telling us to "choose" this	Life
3751	12/18/2000	Double Jeopardy!	ANDY WARHOL	$600 	Andy's "15 minutes of fame" quote was once the motto of this magazine	Interview
3751	12/18/2000	Double Jeopardy!	THEATRE CROSSWORD CLUES "M"	$600 	It "Becomes Electra" (8)	Mourning
3751	12/18/2000	Double Jeopardy!	PEOPLE IN HISTORY	$800 	This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis	Geronimo
3751	12/18/2000	Double Jeopardy!	CINEMATIC DICTIONARY	$1,000 	The inventors of this camera-stabilizing device won a special 1977 Oscar	Steadicam
3751	12/18/2000	Double Jeopardy!	IT'S OURS!	$800 	Madeira Islands	Portugal
3751	12/18/2000	Double Jeopardy!	ANDY WARHOL	$2,000 	Andy's loft on East 47th Street got this nickname from its former use & Andy's mass-production techniques	The Factory
3751	12/18/2000	Double Jeopardy!	THEATRE CROSSWORD CLUES "M"	$800 	Colchian jilted by Jason (5)	Medea
3751	12/18/2000	Double Jeopardy!	PEOPLE IN HISTORY	$1,000 	In 1801 this onetime VP compiled "A Manual of Parliamentary Practice" still used in the U.S. Senate	Thomas Jefferson
3751	12/18/2000	Double Jeopardy!	CINEMATIC DICTIONARY	$1,000 	Near the end of the credits comes the "cutter" of this, the exposed but unfinished film	Negative cutter
3751	12/18/2000	Double Jeopardy!	IT'S OURS!	$1,000 	Northern Mariana Islands	USA
3751	12/18/2000	Double Jeopardy!	ANDY WARHOL	$1,000 	Warhol became the manager of this Lou Reed rock group in 1965 & produced their first album	Velvet Underground
3751	12/18/2000	Double Jeopardy!	THEATRE CROSSWORD CLUES "M"	$1,000 	Faust's fiendish foe (14)	Mephistopheles
3751	12/18/2000	Final Jeopardy!	SPORTS LEGENDS	None	If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract	H.J. Heinz (Heinz 57 Varieties)
3673	7/19/2000	Jeopardy!	GENERAL SCIENCE	$100 	This white, glossy coating on your teeth is the hardest substance in the human body	Enamel
3673	7/19/2000	Jeopardy!	GETTING POSSESSIVE	$100 	This bovine took the rap for the disastrous fire of October 8, 1871	Mrs. O'Leary's cow
3673	7/19/2000	Jeopardy!	FLAGS OF THE WORLD	$100 	It's the kingdom whose flag is seen here (Union Jack)	Great Britain/England
3673	7/19/2000	Jeopardy!	ARCHITECTS	$100 	Minoru Yamasaki reached new heights with this New York City complex	World Trade Center
3673	7/19/2000	Jeopardy!	1994 FILMS	$100 	Quentin Tarantino directed this film & also had a bit role as Jimmy of Toluca Lake	Pulp Fiction
3673	7/19/2000	Jeopardy!	THE EYES HAVE IT	$100 	A student, or a minor in Roman law	Pupil
3673	7/19/2000	Jeopardy!	GENERAL SCIENCE	$200 	The time it takes for 50% of the atoms to decay in a radioactive substance is called this	Half-life
3673	7/19/2000	Jeopardy!	GETTING POSSESSIVE	$200 	At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest	Pike's Peak
3673	7/19/2000	Jeopardy!	FLAGS OF THE WORLD	$200 	Seen here is the flag of this nation (the home of Bollywood)	India
3673	7/19/2000	Jeopardy!	ARCHITECTS	$200 	William Pereira erected his Transamerica "Pyramid" in this city	San Francisco
